specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
rolling_7d,78,2707644,0,1.0,1714,945,768,3312,0.5513418903150525,0.8126984126984127
rolling_7d,78,2707644,1,0.0,47,4,4,56,0.0851063829787234,1.0
rolling_7d,78,2707644,1,1.0,66,13,7,188,0.19696969696969696,0.5384615384615384
expanding,78,2707646,0,0.0,1990,88,33,2056,0.044221105527638194,0.375
expanding,78,2707646,0,1.0,316,136,117,421,0.43037974683544306,0.8602941176470589
expanding,78,2707646,1,0.0,4,0,0,4,0.0,
expanding,78,2707646,1,1.0,9,0,0,14,0.0,
rolling_7d,78,2707646,0,0.0,2032,90,34,2115,0.04429133858267716,0.37777777777777777
rolling_7d,78,2707646,0,1.0,274,134,116,362,0.48905109489051096,0.8656716417910447
rolling_7d,78,2707646,1,0.0,4,0,0,4,0.0,
rolling_7d,78,2707646,1,1.0,9,0,0,14,0.0,
expanding,78,2707648,0,0.0,2922,309,133,3188,0.10574948665297741,0.43042071197411
expanding,78,2707648,0,1.0,414,174,125,501,0.42028985507246375,0.7183908045977011
expanding,78,2707648,1,0.0,7,0,0,7,0.0,
expanding,78,2707648,1,1.0,25,2,2,31,0.08,1.0
rolling_7d,78,2707648,0,0.0,2969,312,134,3241,0.10508588750421018,0.42948717948717946
rolling_7d,78,2707648,0,1.0,367,171,124,448,0.4659400544959128,0.7251461988304093
rolling_7d,78,2707648,1,0.0,15,0,0,18,0.0,
rolling_7d,78,2707648,1,1.0,17,2,2,20,0.11764705882352941,1.0
expanding,86,2707653,0,0.0,4353,247,97,4582,0.056742476453020906,0.39271255060728744
expanding,86,2707653,0,1.0,817,408,259,1594,0.49938800489596086,0.6348039215686274
expanding,86,2707653,1,0.0,12,0,0,13,0.0,
expanding,86,2707653,1,1.0,27,4,3,43,0.14814814814814814,0.75
rolling_7d,86,2707653,0,0.0,4447,256,104,4697,0.05756689903305599,0.40625
rolling_7d,86,2707653,0,1.0,723,399,252,1479,0.5518672199170125,0.631578947368421
rolling_7d,86,2707653,1,0.0,14,0,0,15,0.0,
rolling_7d,86,2707653,1,1.0,25,4,3,41,0.16,0.75
expanding,86,2707655,0,0.0,2942,142,63,3043,0.04826648538409246,0.44366197183098594
expanding,86,2707655,0,1.0,556,274,203,765,0.49280575539568344,0.7408759124087592
expanding,86,2707655,1,0.0,4,0,0,8,0.0,
expanding,86,2707655,1,1.0,12,1,1,22,0.08333333333333333,1.0
rolling_7d,86,2707655,0,0.0,3020,149,64,3126,0.04933774834437086,0.42953020134228187
rolling_7d,86,2707655,0,1.0,478,267,202,682,0.5585774058577406,0.7565543071161048
rolling_7d,86,2707655,1,0.0,6,0,0,11,0.0,
rolling_7d,86,2707655,1,1.0,10,1,1,19,0.1,1.0
expanding,86,2707656,0,0.0,8702,484,216,9280,0.05561939783957711,0.4462809917355372
expanding,86,2707656,0,1.0,1201,573,409,3279,0.47710241465445463,0.7137870855148342
expanding,86,2707656,1,0.0,24,2,1,25,0.08333333333333333,0.5
expanding,86,2707656,1,1.0,54,7,5,351,0.12962962962962962,0.7142857142857143
rolling_7d,86,2707656,0,0.0,8893,521,238,9483,0.05858540425053413,0.45681381957773515
rolling_7d,86,2707656,0,1.0,1010,536,387,3076,0.5306930693069307,0.7220149253731343
rolling_7d,86,2707656,1,0.0,32,2,1,33,0.0625,0.5
rolling_7d,86,2707656,1,1.0,46,7,5,343,0.15217391304347827,0.7142857142857143
expanding,87,2707658,0,0.0,19325,5162,288,20460,0.2671151358344114,0.05579232855482371
