classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,30,1897123,1,1,64,5,5,2494,0.078125,1.0
whale_volume,expanding_top1_primary,31,1897124,0,0,6992,293,136,7302,0.04190503432494279,0.4641638225255973
whale_volume,expanding_top1_primary,31,1897124,0,1,1149,450,339,1724,0.391644908616188,0.7533333333333333
whale_volume,expanding_top1_primary,31,1897124,1,0,13,0,0,14,0.0,
whale_volume,expanding_top1_primary,31,1897124,1,1,45,6,4,66,0.13333333333333333,0.6666666666666666
whale_volume,expanding_top1_primary,31,1897125,0,0,2572,81,43,2691,0.031493001555209954,0.5308641975308642
whale_volume,expanding_top1_primary,31,1897125,0,1,724,275,228,1170,0.3798342541436464,0.8290909090909091
whale_volume,expanding_top1_primary,31,1897125,1,0,2,0,0,3,0.0,
whale_volume,expanding_top1_primary,31,1897125,1,1,27,8,8,42,0.2962962962962963,1.0
whale_volume,expanding_top1_primary,31,1897126,0,0,2249,137,95,2615,0.0609159626500667,0.6934306569343066
whale_volume,expanding_top1_primary,31,1897126,0,1,690,175,141,1152,0.2536231884057971,0.8057142857142857
whale_volume,expanding_top1_primary,31,1897126,1,0,3,0,0,3,0.0,
whale_volume,expanding_top1_primary,31,1897126,1,1,39,7,5,52,0.1794871794871795,0.7142857142857143
whale_volume,expanding_top1_primary,32,1897127,0,0,9100,382,212,9764,0.04197802197802198,0.5549738219895288
whale_volume,expanding_top1_primary,32,1897127,0,1,1326,523,357,4914,0.39441930618401205,0.6826003824091779
whale_volume,expanding_top1_primary,32,1897127,1,0,24,4,3,28,0.16666666666666666,0.75
whale_volume,expanding_top1_primary,32,1897127,1,1,87,18,18,2066,0.20689655172413793,1.0
whale_volume,expanding_top1_primary,32,1897130,0,0,2493,79,21,2576,0.03168872843963097,0.26582278481012656
whale_volume,expanding_top1_primary,32,1897130,0,1,431,168,112,625,0.38979118329466356,0.6666666666666666
whale_volume,expanding_top1_primary,32,1897130,1,0,2,1,1,2,0.5,1.0
whale_volume,expanding_top1_primary,32,1897130,1,1,11,0,0,19,0.0,
whale_volume,expanding_top1_primary,32,1897133,0,0,2338,89,46,2491,0.03806672369546621,0.5168539325842697
whale_volume,expanding_top1_primary,32,1897133,0,1,421,160,104,657,0.38004750593824227,0.65
whale_volume,expanding_top1_primary,32,1897133,1,1,11,0,0,20,0.0,
whale_volume,expanding_top1_primary,33,1897144,0,0,10412,476,231,10881,0.0457164809834806,0.4852941176470588
whale_volume,expanding_top1_primary,33,1897144,0,1,1654,842,477,4233,0.5090689238210399,0.5665083135391924
whale_volume,expanding_top1_primary,33,1897144,1,0,12,2,2,13,0.16666666666666666,1.0
whale_volume,expanding_top1_primary,33,1897144,1,1,77,13,9,4474,0.16883116883116883,0.6923076923076923
whale_volume,expanding_top1_primary,33,1897145,0,0,3366,88,38,3556,0.026143790849673203,0.4318181818181818
whale_volume,expanding_top1_primary,33,1897145,0,1,610,316,236,1367,0.5180327868852459,0.7468354430379747
whale_volume,expanding_top1_primary,33,1897145,1,0,1,0,0,1,0.0,
whale_volume,expanding_top1_primary,33,1897145,1,1,18,2,2,24,0.1111111111111111,1.0
whale_volume,expanding_top1_primary,33,1897146,0,0,3838,92,43,3976,0.023970818134445022,0.4673913043478261
whale_volume,expanding_top1_primary,33,1897146,0,1,766,338,225,2558,0.4412532637075718,0.665680473372781
whale_volume,expanding_top1_primary,33,1897146,1,0,1,0,0,2,0.0,
whale_volume,expanding_top1_primary,33,1897146,1,1,19,3,2,38,0.15789473684210525,0.6666666666666666
whale_volume,expanding_top1_primary,34,1897147,0,0,18143,660,405,19184,0.03637766631758805,0.6136363636363636
whale_volume,expanding_top1_primary,34,1897147,0,1,2629,1245,780,7094,0.47356409281095474,0.6265060240963856
whale_volume,expanding_top1_primary,34,1897147,1,0,45,6,6,57,0.13333333333333333,1.0
whale_volume,expanding_top1_primary,34,1897147,1,1,177,63,57,1380,0.3559322033898305,0.9047619047619048
whale_volume,expanding_top1_primary,34,1897148,0,0,2293,78,40,2529,0.0340165721761884,0.5128205128205128
whale_volume,expanding_top1_primary,34,1897148,0,1,499,257,190,826,0.5150300601202404,0.7392996108949417
whale_volume,expanding_top1_primary,34,1897148,1,0,3,0,0,5,0.0,
whale_volume,expanding_top1_primary,34,1897148,1,1,30,2,2,41,0.06666666666666667,1.0
